Paired,Statistics,P-value,Variables,logp,index
"DMSO, BSJ-04-030",-16.840967779727876,5.086698806942889e-07,Cells_AreaShape_Area,6.293563977005025,1
"DMSO, BSJ-03-136",-67.2831836123356,8.162475191555673e-12,Cells_AreaShape_Area,11.088178125678505,2
"BSJ-04-030, BSJ-03-136",-16.637525444782987,6.755796626618588e-09,Cells_AreaShape_Area,8.170323432704748,3
"DMSO, BSJ-04-030",4.553511204070157,0.0020453482524540804,Cells_AreaShape_Compactness,2.689232735948791,4
"DMSO, BSJ-03-136",-15.077786186268828,8.449669300552844e-07,Cells_AreaShape_Compactness,6.073160287944452,5
"BSJ-04-030, BSJ-03-136",-15.148404993860895,1.7877474145037267e-09,Cells_AreaShape_Compactness,8.747693841376913,6
"DMSO, BSJ-04-030",1.9089894996121373,0.09504533997750722,Cells_AreaShape_Eccentricity,1.022069171504133,7
"DMSO, BSJ-03-136",-20.02403667079323,8.778994244438753e-08,Cells_AreaShape_Eccentricity,7.056555235700942,8
"BSJ-04-030, BSJ-03-136",-15.870758795574138,2.4138573021595823e-10,Cells_AreaShape_Eccentricity,9.617288407277789,9
"DMSO, BSJ-04-030",-3.4093535879550685,0.010638072251575191,Cells_AreaShape_Extent,1.9731370643675858,10
"DMSO, BSJ-03-136",4.174853042016538,0.00382307324466233,Cells_AreaShape_Extent,2.417587381434814,11
"BSJ-04-030, BSJ-03-136",5.418206236132511,9.062645198819145e-05,Cells_AreaShape_Extent,4.04274502223714,12
"DMSO, BSJ-04-030",20.272881725005085,6.720426338339216e-08,Cells_AreaShape_FormFactor,7.172603174786214,13
"DMSO, BSJ-03-136",12.434016166023678,3.5941660835280146e-06,Cells_AreaShape_FormFactor,5.444401858364159,14
"BSJ-04-030, BSJ-03-136",-1.4611666506803833,0.1687262050806244,Cells_AreaShape_FormFactor,0.7728174613463219,15
"DMSO, BSJ-04-030",-2.9875518680459736,0.019304984279143435,Cells_AreaShape_Solidity,1.7143305477039588,16
"DMSO, BSJ-03-136",-6.328684618350284,0.0003100566213731749,Cells_AreaShape_Solidity,3.508558989699623,17
"BSJ-04-030, BSJ-03-136",-1.8994513215914124,0.07877068547154131,Cells_AreaShape_Solidity,1.1036353752338373,18
